zipcode,area,city
1000,Alor Redeh,Kangar
1000,Alor Tok Terang,Kangar
1000,Bohor Gelam,Kangar
1000,Jalan Abi Tok Hashim,Kangar
1000,Jalan Alor Sena,Kangar
1000,Jalan Arau,Kangar
1000,Jalan Besar Kangar,Kangar
1000,Jalan Bohor Guncar,Kangar
1000,Jalan Bukit Meranti,Kangar
1000,Jalan Home Guard,Kangar
1000,Jalan Hospital,Kangar
1000,Jalan Jubli Perak,Kangar
1000,Jalan Kaki Bukit (Batu 4 1/2),Kangar
1000,Jalan Kampung Wan Abdullah,Kangar
1000,Jalan Kangar,Kangar
1000,Jalan Kurung Batang,Kangar
1000,Jalan Masjid Lama,Kangar
1000,Jalan Medan Kangar,Kangar
1000,Jalan Padang Bohor,Kangar
1000,Jalan Panglima,Kangar
1000,Jalan Pegawai,Kangar
1000,Jalan Penjara,Kangar
1000,Jalan Raja Muda,Kangar
1000,Jalan Raja Syed Alwi,Kangar
1000,Jalan Raja Syed Saffi,Kangar
1000,Jalan Santan (Km 5),Kangar
1000,Jalan Seruling,Kangar
1000,Jalan Syed Omar,Kangar
1000,Jalan Taman Bunga Padi,Kangar
1000,Jalan Teluk Kacang,Kangar
1000,Jalan Tok Kandang,Kangar
1000,Jalan Tun Razak,Kangar
1000,Jejawi,Kangar
1000,Kampung Abi Batas Paip,Kangar
1000,Kampung Abi Padang Machang,Kangar
1000,Kampung Abi Pokok Asam,Kangar
1000,Kampung Abi Tok Hashim,Kangar
1000,Kampung Alor Ara,Kangar
1000,Kampung Alor Dalam,Kangar
1000,Kampung Alor Kabong,Kangar
1000,Kampung Alor Lanchang,Kangar
1000,Kampung Alor Marus,Kangar
1000,Kampung Alor Pulai,Kangar
1000,Kampung Alor Redeh,Kangar
1000,Kampung Alor Sena,Kangar
1000,Kampung Alor,Kangar
1000,Kampung Aman,Kangar
1000,Kampung Asam 6,Kangar
1000,Kampung Aur,Kangar
1000,Kampung Bakau,Kangar
1000,Kampung Bakong (Jejawi),Kangar
1000,Kampung Baroh,Kangar
1000,Kampung Baru Santan,Kangar
1000,Kampung Baru,Kangar
1000,Kampung Batu 3.5 (Jalan Kaki Bukit),Kangar
1000,Kampung Batu Pahat,Kangar
1000,Kampung Behor Cicar,Kangar
1000,Kampung Behor Empiang,Kangar
1000,Kampung Behor Inai,Kangar
1000,Kampung Behor Janggus,Kangar
1000,Kampung Behor Kebal,Kangar
1000,Kampung Behor Pulai,Kangar
1000,Kampung Behor Temak,Kangar
1000,Kampung Belangga Pudak,Kangar
1000,Kampung Belat Santan,Kangar
1000,Kampung Belukar (Kangar),Kangar
1000,Kampung Bendang Baru,Kangar
1000,Kampung Binjal,Kangar
1000,Kampung Bintong,Kangar
1000,Kampung Bohor Chichar,Kangar
1000,Kampung Bohor Gandil,Kangar
1000,Kampung Bohor Gelam,Kangar
1000,Kampung Bohor Goncar,Kangar
1000,Kampung Bohor Inai,Kangar
1000,Kampung Bohor Temak,Kangar
1000,Kampung Bukit Besi Hangit,Kangar
1000,Kampung Bukit Kecil,Kangar
1000,Kampung Bunga Pudak,Kangar
1000,Kampung Dagang,Kangar
1000,Kampung Dasri,Kangar
1000,Kampung Datuk,Kangar
1000,Kampung Guar Syed Alwi,Kangar
1000,Kampung Guar Ujung Batu,Kangar
1000,Kampung Gunong,Kangar
1000,Kampung Guru,Kangar
1000,Kampung Haji Daud,Kangar
1000,Kampung Hutan Buluh,Kangar
1000,Kampung Hutan Melintang,Kangar
1000,Kampung Jarak,Kangar
1000,Kampung Jejawi Dalam,Kangar
1000,Kampung Jejawi Sematang,Kangar
1000,Kampung Kechor,Kangar
1000,Kampung Keranji,Kangar
1000,Kampung Kota Keran,Kangar
1000,Kampung Kota Ulu,Kangar
1000,Kampung Kota,Kangar
1000,Kampung Kubang Arang,Kangar
1000,Kampung Kubang Badak,Kangar
1000,Kampung Kubang Cekuang,Kangar
1000,Kampung Kubang Gajah,Kangar
1000,Kampung Kurung Batang,Kangar
1000,Kampung Lin,Kangar
1000,Kampung Masjid (Kangar),Kangar
1000,Kampung Mengkuang Layar,Kangar
1000,Kampung Nissam,Kangar
1000,Kampung Nyak Adam,Kangar
1000,Kampung Padang Behor,Kangar
1000,Kampung Padang Jawa Seriab,Kangar
1000,Kampung Padang Katong,Kangar
1000,Kampung Padang Kedepiang,Kangar
1000,Kampung Padang Machang,Kangar
1000,Kampung Padang Nyaring,Kangar
1000,Kampung Padang Pauh,Kangar
1000,Kampung Padang Petani,Kangar
1000,Kampung Padang Seberang,Kangar
1000,Kampung Panggau,Kangar
1000,Kampung Parit Jari,Kangar
1000,Kampung Penghulu Bakar,Kangar
1000,Kampung Pengkalan Asam,Kangar
1000,Kampung Peseri,Kangar
1000,Kampung Petai Hilir,Kangar
1000,Kampung Petai,Kangar
1000,Kampung Pokok Jawi,Kangar
1000,Kampung Pondok,Kangar
1000,Kampung Pulau,Kangar
1000,Kampung Repoh Dagang,Kangar
1000,Kampung Repoh,Kangar
1000,Kampung Salang,Kangar
1000,Kampung Santan Aur,Kangar
1000,Kampung Santan Belat,Kangar
1000,Kampung Santan Enam,Kangar
1000,Kampung Santan Masjid,Kangar
1000,Kampung Santan,Kangar
1000,Kampung Sempering,Kangar
1000,Kampung Sena Sematang,Kangar
1000,Kampung Sena,Kangar
1000,Kampung Sentang,Kangar
1000,Kampung Sentua,Kangar
1000,Kampung Seriab,Kangar
1000,Kampung Sungai Bakong,Kangar
1000,Kampung Sungai Baru,Kangar
1000,Kampung Sungai Santan,Kangar
1000,Kampung Sungai Siran,Kangar
1000,Kampung Surau,Kangar
1000,Kampung Syed Umar,Kangar
1000,Kampung Tanjung Buluh,Kangar
1000,Kampung Tanjung Gorah,Kangar
1000,Kampung Tanjung Sila,Kangar
1000,Kampung Tanjung,Kangar
1000,Kampung Tebing Tinggi,Kangar
1000,Kampung Telaga Idi,Kangar
1000,Kampung Telaga Nyiur Manis,Kangar
1000,Kampung Telok Epa,Kangar
1000,Kampung Telok Gelam,Kangar
1000,Kampung Telok Jambu,Kangar
1000,Kampung Telok Kacang,Kangar
1000,Kampung Telok Tui,Kangar
1000,Kampung Temak,Kangar
1000,Kampung Tengah Abi,Kangar
1000,Kampung Titi Teras,Kangar
1000,Kampung Titi Tok Bandar,Kangar
1000,Kampung Tok Dewa,Kangar
1000,Kampung Tok Gong,Kangar
1000,Kampung Tok Jawa,Kangar
1000,Kampung Tok Jepun,Kangar
1000,Kampung Tok Kandang,Kangar
1000,Kampung Tok Kembong,Kangar
1000,Kampung Tok Larak,Kangar
1000,Kampung Tok Peduka,Kangar
1000,Kampung Tok Pong,Kangar
1000,Kampung Tok Sumbing,Kangar
1000,Kampung Ujung Bukit,Kangar
1000,Kampung Utan Aji,Kangar
1000,Kampung Utan Temak,Kangar
1000,Kampung Wang Belimbing,Kangar
1000,Kampung Wang Besar,Kangar
1000,Kampung Wang Ulu,Kangar
1000,Kangar,Kangar
1000,Kubang Arang,Kangar
1000,Lorong Haji Seman,Kangar
1000,Lorong Kampung Sena,Kangar
1000,Lorong Nisam,Kangar
1000,Lorong Sekolah,Kangar
1000,Lukuk Gajah,Kangar
1000,Mengkuang Layar,Kangar
1000,Padang Bohor,Kangar
1000,Pengkalan Asam,Kangar
1000,Perumahan Awam Bohor Lateh,Kangar
1000,Perumahan Awam Santan,Kangar
1000,Repoh,Kangar
1000,Sena Rendang,Kangar
1000,Taman Abu Bakar Munir,Kangar
